 #written on 10Jan2023 at 21:58:39 
 #------------------------------------------------- MONTECARLO -------------------------------------------------#
 # Temp      Magnetization     Energy_ave          C_M              Sus              U_E              U_M       #
 #--------------------------------------------------------------------------------------------------------------#
   2.8278   0.20306265E+00  -0.59491315E+00   0.36889804E+00   0.26249791E+00   0.65562962E+00   0.64361038E+00
   2.7773   0.21090452E+00  -0.61400418E+00   0.41040967E+00   0.26914559E+00   0.65553398E+00   0.64500970E+00
   2.7268   0.21903131E+00  -0.63515121E+00   0.42491278E+00   0.27779625E+00   0.65628282E+00   0.64634261E+00
   2.6763   0.22821733E+00  -0.65806199E+00   0.45578823E+00   0.28564019E+00   0.65656853E+00   0.64747884E+00
   2.6258   0.23666446E+00  -0.68069412E+00   0.49016521E+00   0.28921300E+00   0.65700460E+00   0.64912447E+00
   2.5753   0.24654076E+00  -0.70581662E+00   0.55015474E+00   0.30653397E+00   0.65689437E+00   0.64972537E+00
   2.5247   0.25827104E+00  -0.73541135E+00   0.58049001E+00   0.30719406E+00   0.65762093E+00   0.65158042E+00
   2.4742   0.27003758E+00  -0.76564711E+00   0.61965327E+00   0.30818416E+00   0.65805085E+00   0.65299571E+00
   2.4237   0.28247797E+00  -0.79742172E+00   0.65779202E+00   0.32070843E+00   0.65854604E+00   0.65384233E+00
   2.3732   0.29606349E+00  -0.83410523E+00   0.75078055E+00   0.34134229E+00   0.65857470E+00   0.65459268E+00
   2.3227   0.30960843E+00  -0.87037530E+00   0.79759863E+00   0.34854732E+00   0.65916302E+00   0.65567460E+00
   2.2722   0.32548427E+00  -0.91202518E+00   0.79938921E+00   0.32765692E+00   0.66008047E+00   0.65746306E+00
   2.2217   0.34077176E+00  -0.95479209E+00   0.95109927E+00   0.35807581E+00   0.65985097E+00   0.65772351E+00
   2.1712   0.35776891E+00  -0.10025255E+01   0.94647614E+00   0.33740018E+00   0.66079737E+00   0.65919719E+00
   2.1207   0.37551304E+00  -0.10525488E+01   0.10563530E+01   0.35012977E+00   0.66098936E+00   0.65976512E+00
   2.0702   0.39502578E+00  -0.11093689E+01   0.11161662E+01   0.33429246E+00   0.66153518E+00   0.66087180E+00
